"File","Lines"
".\chart\values.yaml","263"
".\chart\values-dev.yaml","20"
".\chart\values-stage.yaml","19"
".\chart\values-prod.yaml","33"
".\chart\values-istio.yaml","28"
".\experiments\add-service\billing-service-values.yaml","13"
".\baseline\manual-k8s\billing-service.yaml","142"
".\experiments-results\rendered\rendered-dev.yaml","845"
".\experiments-results\rendered\rendered-dev-with-billing.yaml","1002"
